LockedDoor,1960.00 ,520.00 ,1075.00 ,305.00 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
UnlockedDoor,1960.00 ,520.00 ,0.00 ,0.00 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
ZipLine,2169.00 ,1449.00 ,0.00 ,0.00 ,0 ,1 ,2599.00 ,1411.00 ,1739.00 ,1487.00 ,0.00 ,0.00 
ZipLineGrip,2547.50 ,1423.50 ,0.00 ,0.00 ,0 ,1 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
ZipLineDisplay,2565.00 ,1099.00 ,0.00 ,0.00 ,0 ,1 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
FootHoldAndZipLineButton,1308.00 ,1232.00 ,0.00 ,0.00 ,0 ,1 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
FootHold,1000.00 ,1180.00 ,0.00 ,0.00 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
DestructibleObject,2060.00 ,297.00 ,0.00 ,0.00 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
BreakingDestructibleObject,2060.00 ,297.00 ,0.00 ,0.00 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
DestructibleObject,500.00 ,617.00 ,0.00 ,0.00 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
BreakingDestructibleObject,500.00 ,617.00 ,0.00 ,0.00 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
DestructibleObject,2902.00 ,1255.00 ,0.00 ,0.00 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
BreakingDestructibleObject,2902.00 ,1255.00 ,0.00 ,0.00 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
