LockedDoor,1880.00 ,520.00 ,2225.00 ,305.00 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
UnlockedDoor,1880.00 ,520.00 ,0.00 ,0.00 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
WallShort,3760.00 ,1040.00 ,0.00 ,0.00 ,1 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
BreakingWallShort,3760.00 ,1040.00 ,0.00 ,0.00 ,1 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
ZipLine,3493.00 ,659.00 ,0.00 ,0.00 ,0 ,1 ,3491.00 ,360.00 ,3493.00 ,958.00 ,0.00 ,0.00 
ZipLineGrip,3493.50 ,953.50 ,0.00 ,0.00 ,0 ,1 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
ZipLineDisplay,3605.50 ,898.00 ,0.00 ,0.00 ,0 ,1 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
ZipLineButton,3939.00 ,1062.00 ,0.00 ,0.00 ,0 ,1 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
ZipLine,4999.50 ,578.50 ,0.00 ,0.00 ,0 ,0 ,4481.00 ,434.00 ,5518.00 ,723.00 ,0.00 ,0.00 
ZipLineGrip,4501.50 ,448.50 ,0.00 ,0.00 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
DestructibleObject,3788.00 ,600.00 ,0.00 ,0.00 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
BreakingDestructibleObject,3820.00 ,577.00 ,0.00 ,0.00 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
